date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:50	2439/2439	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-987%22	https://rootedthegame.com/js/jquery.scrollTo.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.scrollTo.min.js	(from https://rootedthegame.com/)
22:06:50	1388/1388	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-56c%22	https://rootedthegame.com/js/jquery.localScroll.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.localScroll.min.js	(from https://rootedthegame.com/)
22:06:50	1203/1203	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-4b3%22	https://rootedthegame.com/js/jquery.viewport.mini.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.viewport.mini.js	(from https://rootedthegame.com/)
22:06:51	609/609	---M--	200	added ('OK')	application/javascript	etag:%22261-5edb3a3a830e0%22	https://rootedthegame.com/js/jquery.parallax-1.1.3.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.parallax-1.1.3.js	(from https://rootedthegame.com/)
22:06:51	3220/3220	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-c94%22	https://rootedthegame.com/js/jquery.fitvids.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.fitvids.js	(from https://rootedthegame.com/)
22:06:51	35445/35445	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-8a75%22	https://rootedthegame.com/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/isotope.pkgd.min.js	(from https://rootedthegame.com/)
22:06:51	6949/6949	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-1b25%22	https://rootedthegame.com/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/imagesloaded.pkgd.min.js	(from https://rootedthegame.com/)
22:06:52	21179/21179	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-52bb%22	https://rootedthegame.com/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.magnific-popup.min.js	(from https://rootedthegame.com/)
22:06:52	24106/24106	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-5e2a%22	https://rootedthegame.com/js/masonry.pkgd.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/masonry.pkgd.min.js	(from https://rootedthegame.com/)
22:06:52	3726/3726	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-e8e%22	https://rootedthegame.com/js/jquery.lazyload.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.lazyload.min.js	(from https://rootedthegame.com/)
22:06:52	8092/8092	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-1f9c%22	https://rootedthegame.com/js/wow.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/wow.min.js	(from https://rootedthegame.com/)
22:06:52	980/980	---M--	200	added ('OK')	application/javascript	etag:%223d4-5edb3a3a834c8%22	https://rootedthegame.com/js/typed.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/typed.min.js	(from https://rootedthegame.com/)
22:06:53	53473/53473	---M--	200	added ('OK')	application/javascript	etag:%2263875c99-d0e1%22	https://rootedthegame.com/js/all.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/all.js	(from https://rootedthegame.com/)
22:06:53	58935/58935	---M--	200	added ('OK')	text/css	etag:%226376cf3c-e637%22	https://rootedthegame.com/css/all.min.css	C:/My%20Web%20Sites/Rooted/rootedthegame.com/css/all.min.css	(from https://rootedthegame.com/css/style.css)
22:06:53	6603/6603	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Mar%202024%2019:08:15%20GMT	https://rootedthegame.com/images/pattern-bg-2.png	C:/My%20Web%20Sites/Rooted/rootedthegame.com/images/pattern-bg-2.png	(from https://rootedthegame.com/css/style.css)
